Kategoria: Wszystko

Miesiąc,Big data: (Cały świat),Uczenie maszynowe: (Cały świat),Danologia: (Cały świat)
2008-01,2,11,1
2008-02,2,11,1
2008-03,2,12,1
2008-04,2,11,1
2008-05,2,12,1
2008-06,2,11,<1
2008-07,2,10,1
2008-08,2,10,1
2008-09,3,11,1
2008-10,2,11,1
2008-11,2,12,<1
2008-12,2,11,<1
2009-01,2,9,<1
2009-02,2,11,1
2009-03,2,11,1
2009-04,2,10,<1
2009-05,2,10,<1
2009-06,2,10,<1
2009-07,2,13,<1
2009-08,2,10,<1
2009-09,2,10,<1
2009-10,2,10,<1
2009-11,2,11,<1
2009-12,2,8,<1
2010-01,2,8,<1
2010-02,1,8,1
2010-03,2,9,<1
2010-04,2,9,1
2010-05,2,10,<1
2010-06,2,9,1
2010-07,2,8,<1
2010-08,2,8,<1
2010-09,2,10,1
2010-10,2,9,<1
2010-11,2,9,<1
2010-12,2,9,<1
2011-01,2,7,1
2011-02,3,8,<1
2011-03,3,9,1
2011-04,3,9,1
2011-05,3,9,1
2011-06,4,9,1
2011-07,4,8,<1
2011-08,4,9,<1
2011-09,5,10,1
2011-10,6,12,1
2011-11,7,12,1
2011-12,7,10,1
2012-01,9,9,1
2012-02,12,11,1
2012-03,15,11,1
2012-04,15,11,1
2012-05,16,12,1
2012-06,16,10,2
2012-07,17,11,2
2012-08,17,11,1
2012-09,19,12,2
2012-10,24,12,2
2012-11,25,11,2
2012-12,23,10,2
2013-01,26,11,3
2013-02,28,12,3
2013-03,33,12,3
2013-04,35,12,5
2013-05,36,13,5
2013-06,37,12,5
2013-07,37,11,5
2013-08,35,12,5
2013-09,40,13,5
2013-10,42,15,5
2013-11,41,14,5
2013-12,36,13,6
2014-01,42,14,7
2014-02,46,15,7
2014-03,47,15,7
2014-04,48,17,8
2014-05,46,15,8
2014-06,44,15,9
2014-07,47,15,9
2014-08,44,16,11
2014-09,51,18,11
2014-10,50,18,11
2014-11,50,18,11
2014-12,44,17,10
2015-01,47,19,12
2015-02,52,19,13
2015-03,55,21,14
2015-04,53,23,15
2015-05,51,21,15
2015-06,52,22,16
2015-07,50,22,16
2015-08,47,23,17
2015-09,55,24,18
2015-10,54,26,19
2015-11,54,29,18
2015-12,48,27,17
2016-01,48,27,20
2016-02,55,30,21
2016-03,56,32,21
2016-04,55,33,22
2016-05,54,34,24
2016-06,54,35,23
2016-07,48,32,23
2016-08,48,35,23
2016-09,56,38,26
2016-10,55,42,26
2016-11,60,45,27
2016-12,52,44,26
2017-01,54,49,33
2017-02,59,53,34
2017-03,63,58,36
2017-04,60,59,36
2017-05,59,62,37
2017-06,55,65,37
2017-07,52,61,37
2017-08,51,63,39
2017-09,57,67,41
2017-10,60,72,43
2017-11,63,75,44
2017-12,51,71,40
2018-01,55,73,49
2018-02,55,76,49
2018-03,59,79,50
2018-04,56,78,50
2018-05,55,84,52
2018-06,51,81,51
2018-07,51,79,54
2018-08,51,81,54
2018-09,57,85,56
2018-10,61,88,59
2018-11,56,87,57
2018-12,46,80,51
2019-01,50,84,64
2019-02,52,92,66
2019-03,53,90,65
2019-04,51,91,64
2019-05,50,91,66
2019-06,50,91,71
2019-07,48,91,74
2019-08,47,91,76
2019-09,53,99,79
2019-10,54,96,76
2019-11,64,98,76
2019-12,49,89,71
2020-01,48,94,80
2020-02,50,100,85
2020-03,45,85,70
2020-04,45,88,71
2020-05,46,92,74
2020-06,46,92,76
2020-07,45,91,83
2020-08,43,90,81
2020-09,49,94,79
