Kategoria: Wszystko

Miesiąc,Big data: (Cały świat),Uczenie maszynowe: (Cały świat),Danologia: (Cały świat),Sztuczna inteligencja: (Cały świat)
2008-01,1,2,<1,57
2008-02,<1,2,<1,61
2008-03,<1,3,<1,65
2008-04,1,2,<1,63
2008-05,<1,3,<1,65
2008-06,<1,2,<1,61
2008-07,<1,2,<1,58
2008-08,<1,2,<1,61
2008-09,1,3,<1,61
2008-10,<1,2,<1,67
2008-11,<1,3,<1,65
2008-12,<1,2,<1,62
2009-01,<1,2,<1,62
2009-02,<1,2,<1,65
2009-03,<1,2,<1,63
2009-04,<1,2,<1,67
2009-05,<1,2,<1,68
2009-06,<1,2,<1,72
2009-07,<1,3,<1,71
2009-08,<1,2,<1,70
2009-09,<1,2,<1,74
2009-10,<1,2,<1,71
2009-11,1,2,<1,68
2009-12,<1,2,<1,69
2010-01,<1,2,<1,73
2010-02,<1,2,<1,69
2010-03,1,2,<1,70
2010-04,1,2,<1,73
2010-05,<1,2,<1,72
2010-06,<1,2,<1,67
2010-07,<1,2,<1,65
2010-08,<1,2,<1,74
2010-09,<1,2,<1,73
2010-10,<1,2,<1,76
2010-11,1,2,<1,73
2010-12,<1,2,<1,72
2011-01,1,2,<1,72
2011-02,1,2,<1,70
2011-03,1,2,<1,69
2011-04,1,2,<1,73
2011-05,1,2,<1,74
2011-06,1,2,<1,73
2011-07,1,2,<1,73
2011-08,1,2,<1,78
2011-09,1,2,<1,75
2011-10,1,3,<1,83
2011-11,2,3,<1,82
2011-12,2,2,<1,82
2012-01,2,2,<1,82
2012-02,3,3,<1,83
2012-03,3,2,<1,84
2012-04,3,2,<1,79
2012-05,4,3,<1,75
2012-06,4,2,<1,72
2012-07,4,2,<1,73
2012-08,4,3,<1,70
2012-09,4,3,<1,70
2012-10,5,3,<1,73
2012-11,6,2,1,70
2012-12,5,2,1,71
2013-01,6,2,1,68
2013-02,6,3,1,67
2013-03,7,3,1,71
2013-04,8,3,1,67
2013-05,8,3,1,68
2013-06,8,3,1,67
2013-07,8,3,1,68
2013-08,8,3,1,69
2013-09,9,3,1,70
2013-10,9,3,1,69
2013-11,9,3,1,67
2013-12,8,3,1,68
2014-01,9,3,1,67
2014-02,10,3,2,70
2014-03,11,3,2,68
2014-04,11,4,2,68
2014-05,10,3,2,68
2014-06,10,3,2,66
2014-07,10,3,2,65
2014-08,10,4,3,67
2014-09,11,4,2,71
2014-10,11,4,2,70
2014-11,11,4,2,70
2014-12,10,4,2,69
2015-01,10,4,3,72
2015-02,12,4,3,66
2015-03,12,5,3,68
2015-04,12,5,3,70
2015-05,11,5,3,81
2015-06,12,5,3,70
2015-07,11,5,4,69
2015-08,10,5,4,68
2015-09,12,5,4,70
2015-10,12,6,4,69
2015-11,12,7,4,70
2015-12,11,6,4,70
2016-01,11,6,5,72
2016-02,12,7,5,67
2016-03,13,7,5,78
2016-04,12,7,5,74
2016-05,12,8,5,74
2016-06,12,8,5,75
2016-07,11,7,5,70
2016-08,11,8,5,68
2016-09,13,8,6,83
2016-10,12,9,6,79
2016-11,13,10,6,82
2016-12,12,10,6,70
2017-01,12,11,7,69
2017-02,13,12,8,72
2017-03,14,13,8,77
2017-04,13,13,8,75
2017-05,13,14,8,76
2017-06,12,14,8,75
2017-07,12,14,8,77
2017-08,11,14,9,81
2017-09,13,15,9,78
2017-10,13,16,10,83
2017-11,14,17,10,89
2017-12,11,16,9,87
2018-01,12,16,11,87
2018-02,12,17,11,84
2018-03,13,18,11,87
2018-04,12,17,11,86
2018-05,12,19,12,90
2018-06,11,18,11,85
2018-07,11,18,12,82
2018-08,11,18,12,83
2018-09,13,19,12,88
2018-10,14,20,13,92
2018-11,13,19,13,92
2018-12,10,18,11,84
2019-01,11,19,14,87
2019-02,12,21,15,97
2019-03,12,20,14,99
2019-04,11,20,14,94
2019-05,11,20,15,90
2019-06,11,20,16,91
2019-07,11,20,16,91
2019-08,11,20,17,88
2019-09,12,22,18,96
2019-10,12,21,17,94
2019-11,14,22,17,97
2019-12,11,20,16,90
2020-01,11,21,18,91
2020-02,11,22,19,97
2020-03,10,19,16,93
2020-04,10,20,16,98
2020-05,10,21,16,100
2020-06,10,21,17,94
2020-07,10,20,18,93
2020-08,9,20,18,93
2020-09,11,21,18,97
